"seqname","accession","tax_id","species_name","is_type"
"AY184273.1","AY184273.1","219545","Ameiurus melas","0"
"KM874552.1","KM874552.1","58321","Alburnoides bipunctatus","0"
"AY225663.1","AY225663.1","109273","Ambloplites rupestris","0"
"KM874532.1","KM874532.1","58321","Alburnoides bipunctatus","0"
"AF006715.1","AF006715.1","7936","Anguilla anguilla","0"
"HM173121.1","HM173121.1","58321","Alburnoides bipunctatus","0"
"AB021776.1","AB021776.1","7936","Anguilla anguilla","0"
"HM173102.1","HM173102.1","58321","Alburnoides bipunctatus","0"
"KJ564260.1","KJ564260.1","7936","Anguilla anguilla","0"
"EU492326.1","EU492326.1","7936","Anguilla anguilla","0"
"KM874534.1","KM874534.1","58321","Alburnoides bipunctatus","0"
"HM173104.1","HM173104.1","58321","Alburnoides bipunctatus","0"
"KJ564244.1","KJ564244.1","7936","Anguilla anguilla","0"
"HM173124.1","HM173124.1","58321","Alburnoides bipunctatus","0"
"KJ564226.1","KJ564226.1","7936","Anguilla anguilla","0"
"KJ564252.1","KJ564252.1","7936","Anguilla anguilla","0"
"HG794919.1","HG794919.1","7936","Anguilla anguilla","0"
"KM874614.1","KM874614.1","58321","Alburnoides bipunctatus","0"
"KM874560.1","KM874560.1","58321","Alburnoides bipunctatus","0"
"KJ564250.1","KJ564250.1","7936","Anguilla anguilla","0"
"KJ564256.1","KJ564256.1","7936","Anguilla anguilla","0"
"KM874612.1","KM874612.1","58321","Alburnoides bipunctatus","0"
"KJ564222.1","KJ564222.1","7936","Anguilla anguilla","0"
"KJ564267.1","KJ564267.1","7936","Anguilla anguilla","0"
"KJ564254.1","KJ564254.1","7936","Anguilla anguilla","0"
"HG794917.1","HG794917.1","7936","Anguilla anguilla","0"
"KM874610.1","KM874610.1","58321","Alburnoides bipunctatus","0"
"KJ564220.1","KJ564220.1","7936","Anguilla anguilla","0"
"KJ564270.1","KJ564270.1","7936","Anguilla anguilla","0"
"AY115978.1","AY115978.1","109273","Ambloplites rupestris","0"
"HM173106.1","HM173106.1","58321","Alburnoides bipunctatus","0"
"KM874530.1","KM874530.1","58321","Alburnoides bipunctatus","0"
"KM874569.1","KM874569.1","58321","Alburnoides bipunctatus","0"
"KJ564230.1","KJ564230.1","7936","Anguilla anguilla","0"
"KJ564268.1","KJ564268.1","7936","Anguilla anguilla","0"
"KM874561.1","KM874561.1","58321","Alburnoides bipunctatus","0"
"KM874563.1","KM874563.1","58321","Alburnoides bipunctatus","0"
"KM874565.1","KM874565.1","58321","Alburnoides bipunctatus","0"
"KM874640.1","KM874640.1","58321","Alburnoides bipunctatus","0"
"EU492310.1","EU492310.1","278165","Alosa fallax","0"
"KM874553.1","KM874553.1","58321","Alburnoides bipunctatus","0"
"KM874559.1","KM874559.1","58321","Alburnoides bipunctatus","0"
"AJ428497.1","AJ428497.1","61674","Acipenser sturio","0"
"KM874618.1","KM874618.1","58321","Alburnoides bipunctatus","0"
"AY184264.1","AY184264.1","27778","Ameiurus nebulosus","0"
