# Constructed from biom file
#OTU ID	Windermere_01	Windermere_02	Windermere_03	Windermere_04	Windermere_05	Windermere_06	Windermere_07	Windermere_08	Windermere_09	Windermere_10	Windermere_11-0m	Windermere_11-10m	Windermere_11-20m	Windermere_11-30m	Windermere_11-40m	Windermere_11-50m	Windermere_11-60m	Windermere_12	Windermere_13	Windermere_14	Windermere_15	Windermere_16	Windermere_17	Windermere_18	Windermere_19	Windermere_20	Windermere_21	Windermere_22	Windermere_23	Windermere_24	Windermere_25	Windermere_26	Windermere_27	Windermere_28-0m	Windermere_28-10m	Windermere_28-20m	Windermere_28-30m	Windermere_28-40m	Windermere_29	Windermere_30	Windermere_31	Windermere_32	Windermere_34	Windermere_35	Windermere_36	Windermere_37	Windermere_38	Windermere_39	Windermere_40	Windermere_41	Windermere_44	Windermere_45	Windermere_46	Windermere_47	Windermere_48	Windermere_49	Windermere_50	taxomomy
Anguilla_anguilla	0.0	0.0	830.0	0.0	0.0	207.0	0.0	0.0	1263.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2553.0	0.0	0.0	0.0	0.0	686.0	0.0	927.0	2859.0	0.0	14.0	0.0	11065.0	858.0	0.0	846.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	950.0	0.0	0.0	632.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Anguilliformes', 'f__Anguillidae', 'g__Anguilla', 's__Anguilla_anguilla']
Abramis_brama	4487.0	0.0	4069.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2747.0	5.0	40.0	19352.0	729.0	1383.0	2136.0	5586.0	45.0	0.0	2043.0	2824.0	2732.0	8987.0	10247.0	0.0	2530.0	0.0	2410.0	15159.0	166.0	5.0	0.0	0.0	6977.0	6892.0	1562.0	0.0	4672.0	1899.0	1540.0	0.0	0.0	0.0	8.0	0.0	6139.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Abramis', 's__Abramis_brama']
Phoxinus_phoxinus	0.0	99.0	151.0	0.0	0.0	19.0	363.0	1438.0	32.0	0.0	0.0	1444.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1841.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	27.0	101.0	0.0	0.0	81.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Phoxinus', 's__Phoxinus_phoxinus']
Pseudorasbora_parva	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1339.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5714.0	3.0	0.0	0.0	0.0	0.0	4.0	10193.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Pseudorasbora', 's__Pseudorasbora_parva']
Rutilus_rutilus	225.0	0.0	1458.0	0.0	0.0	74.0	0.0	0.0	0.0	10.0	0.0	0.0	697.0	0.0	18.0	0.0	0.0	0.0	0.0	5.0	0.0	4630.0	1774.0	145.0	0.0	66.0	1489.0	37.0	11.0	0.0	801.0	424.0	0.0	609.0	0.0	0.0	0.0	0.0	0.0	1485.0	0.0	0.0	1052.0	37.0	465.0	0.0	70.0	282.0	1162.0	73.0	62.0	116.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Rutilus', 's__Rutilus_rutilus']
Barbatula_barbatula	0.0	0.0	5.0	0.0	0.0	9.0	0.0	126.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Nemacheilidae', 'g__Barbatula', 's__Barbatula_barbatula']
Esox_lucius	0.0	0.0	39.0	645.0	0.0	1161.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1380.0	0.0	104.0	70.0	61.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	1018.0	212.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	3882.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Esociformes', 'f__Esocidae', 'g__Esox', 's__Esox_lucius']
Cottus_gobio	0.0	1441.0	368.0	0.0	2794.0	2301.0	284.0	1135.0	3916.0	0.0	903.0	0.0	0.0	21.0	0.0	0.0	1067.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2138.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	741.0	0.0	0.0	712.0	2591.0	0.0	0.0	0.0	0.0	2087.0	481.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Perciformes', 'f__Cottidae', 'g__Cottus', 's__Cottus_gobio']
Gasterosteus_aculeatus	229.0	595.0	0.0	15.0	0.0	145.0	0.0	418.0	531.0	64.0	0.0	0.0	447.0	0.0	0.0	371.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	409.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	267.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	527.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Perciformes', 'f__Gasterosteidae', 'g__Gasterosteus', 's__Gasterosteus_aculeatus']
Perca_fluviatilis	12549.0	0.0	4863.0	4590.0	2823.0	4177.0	601.0	5158.0	5.0	0.0	4858.0	2054.0	11059.0	5880.0	0.0	2148.0	0.0	3397.0	2492.0	1314.0	12423.0	9046.0	6651.0	2591.0	3278.0	10617.0	1913.0	2713.0	5810.0	18383.0	9446.0	3565.0	6674.0	6374.0	11240.0	3466.0	0.0	8480.0	3.0	7419.0	11046.0	5614.0	12696.0	14565.0	3355.0	1936.0	1153.0	1510.0	3946.0	1606.0	3693.0	0.0	5834.0	4.0	543.0	3220.0	18534.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Perciformes', 'f__Percidae', 'g__Perca', 's__Perca_fluviatilis']
