# Constructed from biom file
#OTU ID	Windermere_01	Windermere_02	Windermere_03	Windermere_04	Windermere_05	Windermere_06	Windermere_07	Windermere_08	Windermere_09	Windermere_10	Windermere_11-0m	Windermere_11-10m	Windermere_11-20m	Windermere_11-30m	Windermere_11-40m	Windermere_11-50m	Windermere_11-60m	Windermere_12	Windermere_13	Windermere_14	Windermere_15	Windermere_16	Windermere_17	Windermere_18	Windermere_19	Windermere_20	Windermere_21	Windermere_22	Windermere_23	Windermere_24	Windermere_25	Windermere_26	Windermere_27	Windermere_28-0m	Windermere_28-10m	Windermere_28-20m	Windermere_28-30m	Windermere_28-40m	Windermere_29	Windermere_30	Windermere_31	Windermere_32	Windermere_34	Windermere_35	Windermere_36	Windermere_37	Windermere_38	Windermere_39	Windermere_40	Windermere_41	Windermere_44	Windermere_45	Windermere_46	Windermere_47	Windermere_48	Windermere_49	Windermere_50	taxomomy
Anguilla_anguilla	0.0	0.0	1128.0	0.0	0.0	229.0	0.0	0.0	1553.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3106.0	0.0	0.0	0.0	0.0	782.0	0.0	966.0	3504.0	0.0	14.0	0.0	14107.0	971.0	0.0	987.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1201.0	0.0	0.0	787.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Anguilliformes', 'f__Anguillidae', 'g__Anguilla', 's__Anguilla_anguilla']
Abramis_brama	4674.0	0.0	4557.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2788.0	5.0	40.0	20350.0	729.0	1413.0	2163.0	6144.0	45.0	0.0	2111.0	2874.0	2856.0	9277.0	10786.0	0.0	2718.0	0.0	2459.0	16771.0	166.0	5.0	0.0	0.0	7406.0	7334.0	1562.0	0.0	4773.0	1930.0	1645.0	0.0	0.0	0.0	8.0	0.0	6899.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Abramis', 's__Abramis_brama']
Phoxinus_phoxinus	0.0	120.0	151.0	0.0	0.0	19.0	369.0	2077.0	32.0	0.0	0.0	1877.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2168.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	27.0	101.0	0.0	0.0	81.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Phoxinus', 's__Phoxinus_phoxinus']
Pseudorasbora_parva	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1389.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6500.0	3.0	0.0	0.0	0.0	0.0	4.0	13878.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Pseudorasbora', 's__Pseudorasbora_parva']
Rutilus_rutilus	242.0	0.0	1530.0	158.0	0.0	174.0	44.0	0.0	287.0	10.0	0.0	203.0	822.0	0.0	18.0	6.0	0.0	0.0	0.0	5.0	205.0	4986.0	2110.0	176.0	0.0	66.0	1670.0	40.0	11.0	0.0	944.0	446.0	0.0	623.0	0.0	0.0	0.0	0.0	0.0	1620.0	0.0	485.0	1382.0	37.0	468.0	0.0	70.0	282.0	1313.0	79.0	62.0	132.0	0.0	0.0	339.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Rutilus', 's__Rutilus_rutilus']
Squalius_cephalus	5.0	11.0	0.0	4.0	3.0	3.0	0.0	0.0	5.0	0.0	0.0	4.0	453.0	0.0	5.0	8.0	6.0	168.0	185.0	226.0	0.0	4.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	12.0	3.0	4.0	0.0	7.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	105.0	94.0	4.0	0.0	0.0	7.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Squalius', 's__Squalius_cephalus']
Barbatula_barbatula	0.0	0.0	5.0	0.0	0.0	9.0	0.0	139.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Nemacheilidae', 'g__Barbatula', 's__Barbatula_barbatula']
Esox_lucius	0.0	0.0	39.0	645.0	0.0	1161.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1654.0	0.0	104.0	70.0	61.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	1018.0	212.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	3885.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Esociformes', 'f__Esocidae', 'g__Esox', 's__Esox_lucius']
Cottus_gobio	0.0	2993.0	571.0	0.0	4043.0	3134.0	332.0	1523.0	5465.0	0.0	949.0	0.0	0.0	21.0	0.0	0.0	1368.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2938.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1060.0	0.0	0.0	788.0	3668.0	0.0	0.0	0.0	0.0	2898.0	761.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Perciformes', 'f__Cottidae', 'g__Cottus', 's__Cottus_gobio']
Gasterosteus_aculeatus	558.0	948.0	0.0	21.0	0.0	287.0	0.0	2022.0	916.0	78.0	0.0	0.0	1957.0	0.0	0.0	597.0	0.0	0.0	0.0	174.0	0.0	0.0	0.0	779.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	438.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1254.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Perciformes', 'f__Gasterosteidae', 'g__Gasterosteus', 's__Gasterosteus_aculeatus']
Perca_fluviatilis	18650.0	0.0	5355.0	5108.0	3505.0	4569.0	601.0	6061.0	9.0	0.0	6232.0	2280.0	13654.0	7388.0	3.0	2531.0	0.0	3820.0	3039.0	1600.0	15656.0	10399.0	7966.0	3035.0	3867.0	11728.0	2150.0	3537.0	7143.0	20544.0	10705.0	3744.0	9416.0	8498.0	12636.0	4199.0	6.0	10447.0	3.0	7642.0	13977.0	7161.0	15783.0	16387.0	3960.0	2086.0	1349.0	1641.0	4553.0	2302.0	4829.0	0.0	6584.0	4.0	700.0	3707.0	22589.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Perciformes', 'f__Percidae', 'g__Perca', 's__Perca_fluviatilis']
Platichthys_flesus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4653.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Pleuronectiformes', 'f__Pleuronectidae', 'g__Platichthys', 's__Platichthys_flesus']
Salmo_salar	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	686.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Salmoniformes', 'f__Salmonidae', 'g__Salmo', 's__Salmo_salar']
Salmo_trutta	1212.0	1752.0	284.0	3590.0	3187.0	208.0	0.0	2217.0	0.0	428.0	105.0	3575.0	0.0	0.0	0.0	2767.0	704.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	1698.0	0.0	3398.0	0.0	730.0	233.0	3617.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5002.0	0.0	0.0	0.0	0.0	0.0	182.0	964.0	62.0	0.0	0.0	1326.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Salmoniformes', 'f__Salmonidae', 'g__Salmo', 's__Salmo_trutta']
Salvelinus_alpinus	0.0	0.0	0.0	431.0	0.0	243.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	148.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2117.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Salmoniformes', 'f__Salmonidae', 'g__Salvelinus', 's__Salvelinus_alpinus']
Salvelinus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Salmoniformes', 'f__Salmonidae', 'g__Salvelinus']
Ameiurus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Siluriformes', 'f__Ictaluridae', 'g__Ameiurus']
Cyprinidae	0.0	4.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	253.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae']
Percidae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Perciformes', 'f__Percidae']
