SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
Bassenthwaite_01	12S	SRR3359943	SAMN04530423	PRJNA313432
Bassenthwaite_01	CytB	SRR3359944	SAMN04530423	PRJNA313432
Bassenthwaite_02	12S	SRR3360033	SAMN04530424	PRJNA313432
Bassenthwaite_02	CytB	SRR3360044	SAMN04530424	PRJNA313432
Bassenthwaite_03	12S	SRR3360055	SAMN04530425	PRJNA313432
Bassenthwaite_03	CytB	SRR3360067	SAMN04530425	PRJNA313432
Bassenthwaite_04	12S	SRR3360079	SAMN04530426	PRJNA313432
Bassenthwaite_04	CytB	SRR3360091	SAMN04530426	PRJNA313432
Bassenthwaite_05	12S	SRR3360103	SAMN04530427	PRJNA313432
Bassenthwaite_05	CytB	SRR3360114	SAMN04530427	PRJNA313432
Bassenthwaite_shore-01	12S	SRR3359945	SAMN04530428	PRJNA313432
Bassenthwaite_shore-01	CytB	SRR3359957	SAMN04530428	PRJNA313432
Derwent_01	12S	SRR3359968	SAMN04530429	PRJNA313432
Derwent_01	CytB	SRR3359980	SAMN04530429	PRJNA313432
Derwent_02	12S	SRR3359992	SAMN04530430	PRJNA313432
Derwent_02	CytB	SRR3360005	SAMN04530430	PRJNA313432
Derwent_03	12S	SRR3360016	SAMN04530431	PRJNA313432
Derwent_03	CytB	SRR3360028	SAMN04530431	PRJNA313432
Derwent_04	12S	SRR3360031	SAMN04530432	PRJNA313432
Derwent_04	CytB	SRR3360032	SAMN04530432	PRJNA313432
Derwent_05	12S	SRR3360034	SAMN04530433	PRJNA313432
Derwent_05	CytB	SRR3360035	SAMN04530433	PRJNA313432
Derwent_shore-01	12S	SRR3360036	SAMN04530434	PRJNA313432
Derwent_shore-01	CytB	SRR3360037	SAMN04530434	PRJNA313432
Windermere_01	12S	SRR3360038	SAMN04530435	PRJNA313432
Windermere_01	CytB	SRR3360039	SAMN04530435	PRJNA313432
Windermere_02	12S	SRR3360040	SAMN04530436	PRJNA313432
Windermere_02	CytB	SRR3360041	SAMN04530436	PRJNA313432
Windermere_03	12S	SRR3360042	SAMN04530437	PRJNA313432
Windermere_03	CytB	SRR3360043	SAMN04530437	PRJNA313432
Windermere_04	12S	SRR3360045	SAMN04530438	PRJNA313432
Windermere_04	CytB	SRR3360046	SAMN04530438	PRJNA313432
Windermere_05	12S	SRR3360047	SAMN04530439	PRJNA313432
Windermere_05	CytB	SRR3360048	SAMN04530439	PRJNA313432
Windermere_06	12S	SRR3360049	SAMN04530440	PRJNA313432
Windermere_06	CytB	SRR3360050	SAMN04530440	PRJNA313432
Windermere_07	12S	SRR3360051	SAMN04530441	PRJNA313432
Windermere_07	CytB	SRR3360052	SAMN04530441	PRJNA313432
Windermere_08	12S	SRR3360053	SAMN04530442	PRJNA313432
Windermere_08	CytB	SRR3360054	SAMN04530442	PRJNA313432
