SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
Windermere_01	CytB	SRR3360039	SAMN04530435	PRJNA313432
Windermere_02	CytB	SRR3360041	SAMN04530436	PRJNA313432
Windermere_03	CytB	SRR3360043	SAMN04530437	PRJNA313432
Windermere_04	CytB	SRR3360046	SAMN04530438	PRJNA313432
Windermere_05	CytB	SRR3360048	SAMN04530439	PRJNA313432
Windermere_06	CytB	SRR3360050	SAMN04530440	PRJNA313432
Windermere_07	CytB	SRR3360052	SAMN04530441	PRJNA313432
Windermere_08	CytB	SRR3360054	SAMN04530442	PRJNA313432
Windermere_09	CytB	SRR3360057	SAMN04530443	PRJNA313432
Windermere_10	CytB	SRR3360059	SAMN04530444	PRJNA313432
Windermere_11-0m	CytB	SRR3360061	SAMN04530445	PRJNA313432
Windermere_11-10m	CytB	SRR3360063	SAMN04530446	PRJNA313432
Windermere_11-20m	CytB	SRR3360065	SAMN04530447	PRJNA313432
Windermere_11-30m	CytB	SRR3360069	SAMN04530448	PRJNA313432
Windermere_11-40m	CytB	SRR3360071	SAMN04530449	PRJNA313432
Windermere_11-50m	CytB	SRR3360074	SAMN04530450	PRJNA313432
Windermere_11-60m	CytB	SRR3360076	SAMN04530451	PRJNA313432
Windermere_12	CytB	SRR3360078	SAMN04530452	PRJNA313432
Windermere_13	CytB	SRR3360082	SAMN04530453	PRJNA313432
Windermere_14	CytB	SRR3360084	SAMN04530454	PRJNA313432
Windermere_15	CytB	SRR3360086	SAMN04530455	PRJNA313432
Windermere_16	CytB	SRR3360088	SAMN04530456	PRJNA313432
Windermere_17	CytB	SRR3360090	SAMN04530457	PRJNA313432
Windermere_18	CytB	SRR3360093	SAMN04530458	PRJNA313432
Windermere_19	CytB	SRR3360095	SAMN04530459	PRJNA313432
Windermere_20	CytB	SRR3360098	SAMN04530460	PRJNA313432
Windermere_21	CytB	SRR3360100	SAMN04530461	PRJNA313432
Windermere_22	CytB	SRR3360102	SAMN04530462	PRJNA313432
Windermere_23	CytB	SRR3360105	SAMN04530463	PRJNA313432
Windermere_24	CytB	SRR3360107	SAMN04530464	PRJNA313432
Windermere_25	CytB	SRR3360109	SAMN04530465	PRJNA313432
Windermere_26	CytB	SRR3360111	SAMN04530466	PRJNA313432
Windermere_27	CytB	SRR3360113	SAMN04530467	PRJNA313432
Windermere_28-0m	CytB	SRR3360116	SAMN04530468	PRJNA313432
Windermere_28-10m	CytB	SRR3360118	SAMN04530469	PRJNA313432
Windermere_28-20m	CytB	SRR3360120	SAMN04530470	PRJNA313432
Windermere_28-30m	CytB	SRR3360122	SAMN04530471	PRJNA313432
Windermere_28-40m	CytB	SRR3360124	SAMN04530472	PRJNA313432
Windermere_29	CytB	SRR3359947	SAMN04530473	PRJNA313432
Windermere_30	CytB	SRR3359949	SAMN04530474	PRJNA313432
Windermere_31	CytB	SRR3359951	SAMN04530475	PRJNA313432
Windermere_32	CytB	SRR3359954	SAMN04530476	PRJNA313432
Windermere_34	CytB	SRR3359959	SAMN04530478	PRJNA313432
Windermere_35	CytB	SRR3359961	SAMN04530479	PRJNA313432
Windermere_36	CytB	SRR3359963	SAMN04530480	PRJNA313432
Windermere_37	CytB	SRR3359965	SAMN04530481	PRJNA313432
Windermere_38	CytB	SRR3359967	SAMN04530482	PRJNA313432
Windermere_39	CytB	SRR3359970	SAMN04530483	PRJNA313432
Windermere_40	CytB	SRR3359972	SAMN04530484	PRJNA313432
Windermere_41	CytB	SRR3359974	SAMN04530485	PRJNA313432
Windermere_44	CytB	SRR3359982	SAMN04530488	PRJNA313432
Windermere_45	CytB	SRR3359984	SAMN04530489	PRJNA313432
Windermere_46	CytB	SRR3359986	SAMN04530490	PRJNA313432
Windermere_47	CytB	SRR3359989	SAMN04530491	PRJNA313432
Windermere_48	CytB	SRR3359991	SAMN04530492	PRJNA313432
Windermere_49	CytB	SRR3359994	SAMN04530493	PRJNA313432
Windermere_50	CytB	SRR3359997	SAMN04530494	PRJNA313432
