SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
Mock-community_01	CytB	SRR3360013	SAMN04530501	PRJNA313432
Mock-community_02	CytB	SRR3360015	SAMN04530502	PRJNA313432
Mock-community_03	CytB	SRR3360018	SAMN04530503	PRJNA313432
Mock-community_04	CytB	SRR3360020	SAMN04530504	PRJNA313432
Mock-community_05	CytB	SRR3360022	SAMN04530505	PRJNA313432
Mock-community_06	CytB	SRR3360024	SAMN04530506	PRJNA313432
Mock-community_07	CytB	SRR3360027	SAMN04530507	PRJNA313432
Mock-community_08	CytB	SRR3360030	SAMN04530508	PRJNA313432
Mock-community_09	CytB	SRR3359940	SAMN04530509	PRJNA313432
Mock-community_10	CytB	SRR3359942	SAMN04530510	PRJNA313432
