Sample name,plate location,Sample type,geo_loc_name,Sampling depth,lat lon,Sample Date,Sampling depth,,Water depth,lat,,lon,,,Country,Location info,Sample Name,,
Windermere_01,A01,Transect 1,United Kingdom: Windermere N basin,2 m,54.4191149901598 N 2.96878402121365 W,2015-01-28,2,m,4,54.419115,N,-2.968784,2.968784,W,United Kingdom:,Windermere N basin,Windermere,_,01
Windermere_02,B03,Transect 1,United Kingdom: Windermere N basin,2.5 m,54.4117880333215 N 2.97764302231371 W,2015-01-28,2.5,m,5,54.411788,N,-2.977643,2.977643,W,United Kingdom:,Windermere N basin,Windermere,_,02
Windermere_03,A05,Transect 1,United Kingdom: Windermere N basin,2.5 m,54.4069639965891 N 2.96369302086532 W,2015-01-28,2.5,m,5,54.406964,N,-2.963693,2.963693,W,United Kingdom:,Windermere N basin,Windermere,_,03
Windermere_04,D06,Transect 1,United Kingdom: Windermere N basin,2.5 m,54.3969099875539 N 2.96084501780569 W,2015-01-28,2.5,m,5,54.396910,N,-2.960845,2.960845,W,United Kingdom:,Windermere N basin,Windermere,_,04
Windermere_05,G07,Transect 1,United Kingdom: Windermere N basin,2.5 m,54.3888419866561 N 2.95004996471107 W,2015-01-28,2.5,m,5,54.388842,N,-2.950050,2.950050,W,United Kingdom:,Windermere N basin,Windermere,_,05
Windermere_06,A08,Transect 1,United Kingdom: Windermere N basin,2.5 m,54.3827439844608 N 2.94388901442289 W,2015-01-28,2.5,m,5,54.382744,N,-2.943889,2.943889,W,United Kingdom:,Windermere N basin,Windermere,_,06
Windermere_07,B08,Transect 1,United Kingdom: Windermere N basin,2.5 m,54.3732740264385 N 2.94258101843297 W,2015-01-28,2.5,m,5,54.373274,N,-2.942581,2.942581,W,United Kingdom:,Windermere N basin,Windermere,_,07
Windermere_08,C08,Transect 1,United Kingdom: Windermere N basin,2 m,54.3675309978425 N 2.94293398037552 W,2015-01-28,2,m,4,54.367531,N,-2.942934,2.942934,W,United Kingdom:,Windermere N basin,Windermere,_,08
Windermere_09,D08,Transect 3,United Kingdom: Windermere N basin,24 m,54.4122529774904 N 2.96347601339221 W,2015-01-28,24,m,48,54.412253,N,-2.963476,2.963476,W,United Kingdom:,Windermere N basin,Windermere,_,09
Windermere_10,B01,Transect 3,United Kingdom: Windermere N basin,20 m,54.4076450262218 N 2.9578430391848 W,2015-01-28,20,m,40,54.407645,N,-2.957843,2.957843,W,United Kingdom:,Windermere N basin,Windermere,_,10
Windermere_11-0m,C01,Transect 3,United Kingdom: Windermere N basin,0 m,54.3993279989808 N 2.95359903015196 W,2015-01-28,0,m,61,54.399328,N,-2.953599,2.953599,W,United Kingdom:,Windermere N basin,Windermere,_,11-0m
Windermere_11-10m,D01,Transect 3,United Kingdom: Windermere N basin,10 m,54.3993279989808 N 2.95359903015196 W,2015-01-28,10,m,61,54.399328,N,-2.953599,2.953599,W,United Kingdom:,Windermere N basin,Windermere,_,11-10m
Windermere_11-20m,G01,Transect 3,United Kingdom: Windermere N basin,20 m,54.3993279989808 N 2.95359903015196 W,2015-01-28,20,m,61,54.399328,N,-2.953599,2.953599,W,United Kingdom:,Windermere N basin,Windermere,_,11-20m
Windermere_11-30m,E01,Transect 3,United Kingdom: Windermere N basin,30 m,54.3993279989808 N 2.95359903015196 W,2015-01-28,30,m,61,54.399328,N,-2.953599,2.953599,W,United Kingdom:,Windermere N basin,Windermere,_,11-30m
Windermere_11-40m,F01,Transect 3,United Kingdom: Windermere N basin,40 m,54.3993279989808 N 2.95359903015196 W,2015-01-28,40,m,61,54.399328,N,-2.953599,2.953599,W,United Kingdom:,Windermere N basin,Windermere,_,11-40m
Windermere_11-50m,H01,Transect 3,United Kingdom: Windermere N basin,50 m,54.3993279989808 N 2.95359903015196 W,2015-01-28,50,m,61,54.399328,N,-2.953599,2.953599,W,United Kingdom:,Windermere N basin,Windermere,_,11-50m
Windermere_11-60m,A02,Transect 3,United Kingdom: Windermere N basin,60 m,54.3993279989808 N 2.95359903015196 W,2015-01-28,60,m,61,54.399328,N,-2.953599,2.953599,W,United Kingdom:,Windermere N basin,Windermere,_,11-60m
Windermere_12,B02,Transect 3,United Kingdom: Windermere N basin,21.5 m,54.390919022262 N 2.94485402293503 W,2015-01-28,21.5,m,43,54.390919,N,-2.944854,2.944854,W,United Kingdom:,Windermere N basin,Windermere,_,12
Windermere_13,C02,Transect 3,United Kingdom: Windermere N basin,22.5 m,54.3827699683606 N 2.9381429683417 W,2015-01-28,22.5,m,45,54.382770,N,-2.938143,2.938143,W,United Kingdom:,Windermere N basin,Windermere,_,13
Windermere_14,D02,Transect 3,United Kingdom: Windermere N basin,16.5 m,54.372900025919 N 2.93601002544164 W,2015-01-28,16.5,m,33,54.372900,N,-2.936010,2.936010,W,United Kingdom:,Windermere N basin,Windermere,_,14
Windermere_15,E02,Transect 3,United Kingdom: Windermere N basin,3 m,54.3672480247914 N 2.93674696236848 W,2015-01-28,3,m,6,54.367248,N,-2.936747,2.936747,W,United Kingdom:,Windermere N basin,Windermere,_,15
Windermere_16,F02,Transect 1,United Kingdom: Windermere S basin,2.5 m,54.3524190131574 N 2.94006099924445 W,2015-01-29,2.5,m,5,54.352419,N,-2.940061,2.940061,W,United Kingdom:,Windermere S basin,Windermere,_,16
Windermere_17,G02,Transect 1,United Kingdom: Windermere S basin,2.5 m,54.3441029917448 N 2.94563395902514 W,2015-01-29,2.5,m,5,54.344103,N,-2.945634,2.945634,W,United Kingdom:,Windermere S basin,Windermere,_,17
Windermere_18,H02,Transect 1,United Kingdom: Windermere S basin,2.5 m,54.3350650370121 N 2.94631800614297 W,2015-01-29,2.5,m,5,54.335065,N,-2.946318,2.946318,W,United Kingdom:,Windermere S basin,Windermere,_,18
Windermere_19,A03,Transect 1,United Kingdom: Windermere S basin,2.5 m,54.3286320101469 N 2.94740103185176 W,2015-01-29,2.5,m,5,54.328632,N,-2.947401,2.947401,W,United Kingdom:,Windermere S basin,Windermere,_,19
Windermere_20,C03,Transect 1,United Kingdom: Windermere S basin,2.5 m,54.3182869814336 N 2.95622197911143 W,2015-01-29,2.5,m,5,54.318287,N,-2.956222,2.956222,W,United Kingdom:,Windermere S basin,Windermere,_,20
Windermere_21,D03,Transect 1,United Kingdom: Windermere S basin,2.5 m,54.3093920219689 N 2.95866899192333 W,2015-01-29,2.5,m,5,54.309392,N,-2.958669,2.958669,W,United Kingdom:,Windermere S basin,Windermere,_,21
Windermere_22,E03,Transect 1,United Kingdom: Windermere S basin,2.5 m,54.3011490069329 N 2.95988302677869 W,2015-01-29,2.5,m,5,54.301149,N,-2.959883,2.959883,W,United Kingdom:,Windermere S basin,Windermere,_,22
Windermere_23,F03,Transect 1,United Kingdom: Windermere S basin,2.5 m,54.2913919687271 N 2.95636598020792 W,2015-01-29,2.5,m,5,54.291392,N,-2.956366,2.956366,W,United Kingdom:,Windermere S basin,Windermere,_,23
Windermere_24,G03,Transect 1,United Kingdom: Windermere S basin,2.5 m,54.2828239873051 N 2.95591000467538 W,2015-01-29,2.5,m,5,54.282824,N,-2.955910,2.955910,W,United Kingdom:,Windermere S basin,Windermere,_,24
Windermere_25,H03,Transect 3,United Kingdom: Windermere S basin,3 m,54.3440269678831 N 2.94133697636425 W,2015-01-29,3,m,6,54.344027,N,-2.941337,2.941337,W,United Kingdom:,Windermere S basin,Windermere,_,25
Windermere_26,A04,Transect 3,United Kingdom: Windermere S basin,14 m,54.3355620000511 N 2.94220601208508 W,2015-01-29,14,m,28,54.335562,N,-2.942206,2.942206,W,United Kingdom:,Windermere S basin,Windermere,_,26
Windermere_27,B04,Transect 3,United Kingdom: Windermere S basin,17 m,54.3283959757536 N 2.94325903058052 W,2015-01-29,17,m,34,54.328396,N,-2.943259,2.943259,W,United Kingdom:,Windermere S basin,Windermere,_,27
Windermere_28-0m,C04,Transect 3,United Kingdom: Windermere S basin,0 m,54.3135940376669 N 2.95078597962856 W,2015-01-29,0,m,40,54.313594,N,-2.950786,2.950786,W,United Kingdom:,Windermere S basin,Windermere,_,28-0m
Windermere_28-10m,D04,Transect 3,United Kingdom: Windermere S basin,10 m,54.3135940376669 N 2.95078597962856 W,2015-01-29,10,m,40,54.313594,N,-2.950786,2.950786,W,United Kingdom:,Windermere S basin,Windermere,_,28-10m
Windermere_28-20m,E04,Transect 3,United Kingdom: Windermere S basin,20 m,54.3135940376669 N 2.95078597962856 W,2015-01-29,20,m,40,54.313594,N,-2.950786,2.950786,W,United Kingdom:,Windermere S basin,Windermere,_,28-20m
Windermere_28-30m,F04,Transect 3,United Kingdom: Windermere S basin,30 m,54.3135940376669 N 2.95078597962856 W,2015-01-29,30,m,40,54.313594,N,-2.950786,2.950786,W,United Kingdom:,Windermere S basin,Windermere,_,28-30m
Windermere_28-40m,G04,Transect 3,United Kingdom: Windermere S basin,40 m,54.3135940376669 N 2.95078597962856 W,2015-01-29,40,m,40,54.313594,N,-2.950786,2.950786,W,United Kingdom:,Windermere S basin,Windermere,_,28-40m
Windermere_29,H04,Transect 3,United Kingdom: Windermere S basin,19 m,54.3089460209012 N 2.95359198935329 W,2015-01-29,19,m,38,54.308946,N,-2.953592,2.953592,W,United Kingdom:,Windermere S basin,Windermere,_,29
Windermere_30,B05,Transect 3,United Kingdom: Windermere S basin,17.5 m,54.3012339994311 N 2.95457401312887 W,2015-01-29,17.5,m,35,54.301234,N,-2.954574,2.954574,W,United Kingdom:,Windermere S basin,Windermere,_,30
Windermere_31,C05,Transect 3,United Kingdom: Windermere S basin,16 m,54.2917350400239 N 2.95342996716499 W,2015-01-29,16,m,32,54.291735,N,-2.953430,2.953430,W,United Kingdom:,Windermere S basin,Windermere,_,31
Windermere_32,D05,Transect 3,United Kingdom: Windermere S basin,9 m,54.2828909587115 N 2.95387797988951 W,2015-01-29,9,m,18,54.282891,N,-2.953878,2.953878,W,United Kingdom:,Windermere S basin,Windermere,_,32
Windermere_34,F05,Transect 2,United Kingdom: Windermere S basin,10 m,54.2914189584553 N 2.95473796315491 W,2015-01-29,10,m,20,54.291419,N,-2.954738,2.954738,W,United Kingdom:,Windermere S basin,Windermere,_,34
